n_wait,rep_n,agent_type,p_delayed
2,74,MF,0.01392686301828179
2,75,MB,0.3588572215233015
2,75,MF,0.9071122240618724
2,76,MB,0.36578805236398076
2,76,MF,0.939874717357735
2,77,MB,0.3739045775537464
2,77,MF,0.9769490449274936
2,78,MB,0.3865344996300754
2,78,MF,0.3694310211370419
2,79,MB,0.40942673236228855
2,79,MF,0.9875690090771404
2,80,MB,0.36585161785589104
2,80,MF,0.01271489377462587
2,81,MB,0.33573196249774107
2,81,MF,0.2475117073830912
2,82,MB,0.3655866750973977
2,82,MF,0.9807328875835917
2,83,MB,0.39018825388981243
2,83,MF,0.9769164276761092
2,84,MB,0.3745876773262872
2,84,MF,0.9767889442472233
2,85,MB,0.367545024229028
2,85,MF,0.9768231540208469
2,86,MB,0.3611448503232034
2,86,MF,0.00513915047463722
2,87,MB,0.33113677116887136
2,87,MF,0.013791721059961116
2,88,MB,0.38513323492581497
2,88,MF,0.9984530199249553
2,89,MB,0.3649231759959119
2,89,MF,0.008751607799460825
2,90,MB,0.3458067461934165
2,90,MF,0.5843781157030864
2,91,MB,0.4062317551794416
2,91,MF,0.24358379272042427
2,92,MB,0.366352564823514
2,92,MF,0.9873745389617465
2,93,MB,0.4086593487965901
2,93,MF,0.24873376774486386
2,94,MB,0.3116744342960456
2,94,MF,0.9807389876412431
2,95,MB,0.3679339920399791
2,95,MF,0.004673112672275264
2,96,MB,0.3788051292809339
2,96,MF,0.09674671794107786
2,97,MB,0.379089825487904
2,97,MF,0.98066463351207
2,98,MB,0.37825599851581987
2,98,MF,0.9593280347945581
2,99,MB,0.3274299033955952
2,99,MF,0.9875487818198265
3,0,MB,0.16014509225392193
3,0,MF,0.006833236013891737
3,1,MB,0.1258887121286205
3,1,MF,0.044389899660901164
3,2,MB,0.12498749429534854
3,2,MF,0.9691261992380733
3,3,MB,0.16971218801276142
3,3,MF,0.005730874074905958
3,4,MB,0.1382196657129756
3,4,MF,0.050887824346392836
3,5,MB,0.0839099054934011
3,5,MF,0.06033112766780408
3,6,MB,0.15486644190834567
3,6,MF,0.9742899683128515
3,7,MB,0.12642127331087027
3,7,MF,0.03593033255700288
3,8,MB,0.16400563824654305
3,8,MF,0.005678269426968904
3,9,MB,0.19964064710595153
3,9,MF,0.9687537681348156
3,10,MB,0.13939929695698633
3,10,MF,0.005658616579932374
3,11,MB,0.13931044672609486
3,11,MF,0.0005902285010017917
3,12,MB,0.1382323234785032
3,12,MF,0.010171217090142482
3,13,MB,0.14900857157312336
3,13,MF,0.006411996287802913
3,14,MB,0.14195620914961843
3,14,MF,0.0022962849366884143
3,15,MB,0.1132116141606756
3,15,MF,0.019988507092999878
3,16,MB,0.10875076733774774
3,16,MF,0.006299978038181007
3,17,MB,0.1142007120168619
3,17,MF,0.20042735598995753
3,18,MB,0.10676011016211998
3,18,MF,0.9972928869986246
3,19,MB,0.14344821654339335
3,19,MF,0.005773400625930071
3,20,MB,0.15210982521715657
3,20,MF,0.9596719902381944
3,21,MB,0.16435011001941413
3,21,MF,0.9632110108400223
3,22,MB,0.1373178403997426
3,22,MF,0.006594806809801043
3,23,MB,0.11141150397771389
3,23,MF,0.9634829456050895
3,24,MB,0.14560873346790404
3,24,MF,0.9635001748219018
3,25,MB,0.11241229345665359
3,25,MF,0.006330616097704701
3,26,MB,0.16233216583436527
3,26,MF,0.06065551677173154
3,27,MB,0.13521766652416572
3,27,MF,0.9011427664072837
3,28,MB,0.16496575935641702
3,28,MF,0.0042586183840687365
3,29,MB,0.13525756629666613
3,29,MF,0.0016964471860403142
3,30,MB,0.15019224039278298
3,30,MF,0.010822196717263888
3,31,MB,0.13454868953623658
3,31,MF,0.0021230331049131384
3,32,MB,0.11569972408665093
3,32,MF,0.005670824116203611
3,33,MB,0.13654487325175002
3,33,MF,0.00635529043363313
3,34,MB,0.16228535321959542
3,34,MF,0.0063219017578255736
3,35,MB,0.15241637943685996
3,35,MF,0.01066314343164277
3,36,MB,0.15374246837838756
3,36,MF,0.0006597859094058464
3,37,MB,0.1360818013957412
3,37,MF,0.9743679627175834
3,38,MB,0.13411665170249826
3,38,MF,0.0050119458730665065
3,39,MB,0.13383180074491266
3,39,MF,0.15212822043237992
3,40,MB,0.14231770897386622
3,40,MF,0.14920131272387352
3,41,MB,0.15329554160503495
3,41,MF,0.9595878457999522
3,42,MB,0.1328870258933968
3,42,MF,0.036227292431898456
3,43,MB,0.09686288191089391
3,43,MF,0.026985454999683366
3,44,MB,0.15388786293028353
3,44,MF,0.1422965637163036
3,45,MB,0.1550573894192361
3,45,MF,0.9810789094527949
3,46,MB,0.13864156980328143
3,46,MF,0.0008498827160521379
3,47,MB,0.12865092299450684
3,47,MF,0.004585205224469195
3,48,MB,0.14912338629968197
3,48,MF,0.006363005320665976
3,49,MB,0.13564152374574912
3,49,MF,0.10321537265649049
3,50,MB,0.12436492823087743
3,50,MF,0.006316708784225489
3,51,MB,0.11263417448497376
3,51,MF,0.9768301140379987
3,52,MB,0.10957330162393374
3,52,MF,0.010333262553600139
3,53,MB,0.12697977510355402
3,53,MF,0.9663139319015305
3,54,MB,0.14338392965237637
3,54,MF,0.04052439323102708
3,55,MB,0.14461547460046384
3,55,MF,0.003850514678657327
3,56,MB,0.10449516792737382
3,56,MF,0.005810003559854319
3,57,MB,0.15212913380449306
3,57,MF,0.006363808405849904
3,58,MB,0.1519695864888073
3,58,MF,0.0005098885062918298
3,59,MB,0.12940722850078692
3,59,MF,0.9772110141717113
3,60,MB,0.11539952279294434
3,60,MF,0.9702607543516275
3,61,MB,0.09187160812460365
3,61,MF,0.9703439884841599
3,62,MB,0.13915030736394207
3,62,MF,0.970352751657252
3,63,MB,0.13900450498475908
3,63,MF,0.0063646666683177715
3,64,MB,0.14274095220319702
3,64,MF,0.010820868973246524
3,65,MB,0.1428619649497953
3,65,MF,0.9708290178293213
3,66,MB,0.11864512656129655
3,66,MF,0.00700491035742965
3,67,MB,0.13152427122940427
3,67,MF,0.1702157379158835
3,68,MB,0.13357026543331707
3,68,MF,0.0004052530143898542
3,69,MB,0.12485205453725462
3,69,MF,0.01066137481949109
3,70,MB,0.17438657803828814
3,70,MF,0.005727504339562202
3,71,MB,0.15129335222261422
3,71,MF,0.0033931881878797297
3,72,MB,0.11405322605077561
3,72,MF,0.09003384024485897
3,73,MB,0.12304827654750036
3,73,MF,0.010523102250445057
3,74,MB,0.1405401689016821
3,74,MF,0.9676218295985906
3,75,MB,0.16166792938843166
3,75,MF,0.005998832290254837
3,76,MB,0.11695359606582732
3,76,MF,0.9807917799827754
3,77,MB,0.14647936018419672
3,77,MF,0.06066884087011422
3,78,MB,0.1281640025060531
3,78,MF,0.0601586722986418
3,79,MB,0.1374727331713455
3,79,MF,0.006325099002919786
3,80,MB,0.11860531015539391
3,80,MF,0.0059035544891433015
3,81,MB,0.12986771312335849
3,81,MF,0.001988263045218919
3,82,MB,0.14061990140615838
3,82,MF,0.005781986025528822
3,83,MB,0.13108811412747853
3,83,MF,0.0035484218136097503
3,84,MB,0.1753395204354317
3,84,MF,0.005997504233422202
3,85,MB,0.12178893086421862
3,85,MF,0.9075355909863482
3,86,MB,0.09590810680531697
3,86,MF,0.005366860137872076
3,87,MB,0.14820965082815735
3,87,MF,0.03613081163683028
3,88,MB,0.12969121121682345
3,88,MF,0.006970574357208553
3,89,MB,0.12202557272036367
3,89,MF,0.006315597689948453
3,90,MB,0.11637265191333877
3,90,MF,0.9793094833671976
3,91,MB,0.12943377575778642
3,91,MF,0.16154653683642156
3,92,MB,0.13682108552441138
3,92,MF,0.0014096746723069175
3,93,MB,0.1431978640448725
3,93,MF,0.5395463576911724
3,94,MB,0.12637331579334637
3,94,MF,0.005776497679011033
3,95,MB,0.15113604437110983
3,95,MF,0.024025042012944874
3,96,MB,0.1845652250800252
3,96,MF,0.005670550763341033
3,97,MB,0.14342048066479623
3,97,MF,0.004048886977975412
3,98,MB,0.12401338992170485
3,98,MF,0.9805563123633276
3,99,MB,0.16733909712824818
3,99,MF,0.005709982404488789
4,0,MB,0.0686379616087414
4,0,MF,0.0034998572293587545
4,1,MB,0.048861070081194495
4,1,MF,0.0035024412041816636
4,2,MB,0.046029999761368214
4,2,MF,0.015076056985959752
4,3,MB,0.0723743147464781
4,3,MF,0.05757685118088443
4,4,MB,0.05127136625777822
4,4,MF,0.0031526044515538115
4,5,MB,0.04166787959175112
4,5,MF,0.002229630178589451
4,6,MB,0.051006331662429766
4,6,MF,0.0031844004732477253
4,7,MB,0.03640385757988653
4,7,MF,0.0035024546897031114
4,8,MB,0.017824087331130698
4,8,MF,0.00043234615757110076
4,9,MB,0.04985279031364339
4,9,MF,0.04001967899490163
4,10,MB,0.060293345601414326
4,10,MF,0.9567189271114401
4,11,MB,0.04967909921786562
4,11,MF,0.9445594406195279
4,12,MB,0.05883726982259174
4,12,MF,0.0673666695001418
4,13,MB,0.038644069470916316
4,13,MF,0.035639568759325786
4,14,MB,0.05225669682610707
4,14,MF,0.002420036719053755
4,15,MB,0.017313178814767887
4,15,MF,0.0031575432624511863
4,16,MB,0.04570577322381824
4,16,MF,0.0009239429539634962
4,17,MB,0.050827197697057354
4,17,MF,0.00037849705372811483
4,18,MB,0.06416842492429488
4,18,MF,0.022962879167481617
4,19,MB,0.04291674340055323
4,19,MF,0.9582691287400913
4,20,MB,0.01656952232526299
4,20,MF,0.0021978041499912497
4,21,MB,0.01683243196530838
4,21,MF,0.0031655557534216823
4,22,MB,0.07327832515341218
4,22,MF,0.004692967834345484
4,23,MB,0.05566094085701284
4,23,MF,0.003852240194512751
4,24,MB,0.042517222379864085
4,24,MF,0.0010739848750122686
4,25,MB,0.04079347313838369
4,25,MF,0.003176533755061308
4,26,MB,0.05581233737862667
4,26,MF,0.02756339278650906
4,27,MB,0.04941033740205655
4,27,MF,0.00022711560239564407
4,28,MB,0.017127547774053693
4,28,MF,0.002515757094718728
4,29,MB,0.05797142813968814
4,29,MF,0.0019220664341832085
4,30,MB,0.05828382053692899
4,30,MF,0.004126750944117627
4,31,MB,0.04250875503022915
4,31,MF,0.002547574674049991
4,32,MB,0.04970711774809121
4,32,MF,0.07728877759624829
4,33,MB,0.0434668005887836
4,33,MF,0.9482347524322902
4,34,MB,0.05996541968608344
4,34,MF,0.17319759975972834
4,35,MB,0.044622588522001676
4,35,MF,0.0003291244236951318
4,36,MB,0.040990006707568284
4,36,MF,0.007877407627417054
