rep_n,trial_n,agent_type,a1,a2,stay,r,last_r,last_trans
0,190,MB,left,left,0,0,0,common
0,191,MB,left,left,1,1,0,common
0,192,MB,left,left,1,1,1,common
0,193,MB,right,left,0,0,1,common
0,194,MB,right,left,1,0,0,common
0,195,MB,left,left,0,1,0,common
0,196,MB,left,left,1,1,1,rare
0,197,MB,left,left,1,0,1,common
0,198,MB,right,right,0,1,0,common
0,199,MB,left,right,0,1,1,common
0,200,MB,left,left,1,1,1,rare
0,201,MB,right,right,0,1,1,rare
0,202,MB,left,left,0,0,1,rare
0,203,MB,left,left,1,1,0,rare
0,204,MB,left,left,1,1,1,common
0,205,MB,right,left,0,1,1,common
0,206,MB,right,right,1,0,1,rare
0,207,MB,right,left,1,0,0,common
0,208,MB,right,right,1,0,0,common
0,209,MB,right,right,1,0,0,common
0,210,MB,left,left,0,0,0,common
0,211,MB,left,right,1,0,0,rare
0,212,MB,left,left,1,1,0,common
0,213,MB,left,left,1,0,1,rare
0,214,MB,right,left,0,1,0,common
0,215,MB,left,right,0,0,1,common
0,216,MB,right,left,0,1,0,common
0,217,MB,left,right,0,1,1,common
0,218,MB,right,left,0,1,1,rare
0,219,MB,right,left,1,1,1,common
0,220,MB,right,right,1,1,1,common
0,221,MB,left,right,0,1,1,rare
0,222,MB,right,right,0,0,1,common
0,223,MB,left,right,0,0,0,rare
0,224,MB,right,left,0,1,0,rare
0,225,MB,left,left,0,1,1,common
0,226,MB,right,left,0,1,1,common
0,227,MB,right,right,1,1,1,common
0,228,MB,right,left,1,0,1,rare
0,229,MB,left,right,0,0,0,rare
0,230,MB,right,left,0,0,0,common
0,231,MB,left,right,0,0,0,common
0,232,MB,left,right,1,1,0,rare
0,233,MB,right,right,0,0,1,common
0,234,MB,right,left,1,1,0,common
0,235,MB,left,right,0,0,1,common
0,236,MB,right,left,0,1,0,common
0,237,MB,right,left,1,1,1,rare
0,238,MB,right,right,1,0,1,common
0,239,MB,right,left,1,0,0,rare
0,240,MB,left,left,0,1,0,common
0,241,MB,left,left,1,1,1,common
0,242,MB,right,left,0,0,1,common
0,243,MB,right,right,1,1,0,common
0,244,MB,left,left,0,0,1,rare
0,245,MB,left,left,1,0,0,common
0,246,MB,right,left,0,0,0,rare
0,247,MB,left,right,0,1,0,common
0,248,MB,right,right,0,1,1,common
0,249,MB,right,right,1,1,1,common
1,0,MF,left,left,0,0,,
1,1,MF,right,right,0,1,0,common
1,2,MF,right,left,1,0,1,common
1,3,MF,right,right,1,0,0,rare
1,4,MF,right,right,1,1,0,common
1,5,MF,right,right,1,1,1,rare
1,6,MF,right,left,1,1,1,rare
1,7,MF,right,left,1,1,1,common
1,8,MF,right,left,1,1,1,common
1,9,MF,right,right,1,1,1,rare
1,10,MF,right,left,1,0,1,common
1,11,MF,right,left,1,0,0,common
1,12,MF,right,right,1,1,0,common
1,13,MF,right,left,1,1,1,common
1,14,MF,right,right,1,1,1,rare
1,15,MF,right,right,1,1,1,rare
1,16,MF,right,right,1,1,1,common
1,17,MF,right,right,1,1,1,common
1,18,MF,right,right,1,1,1,common
1,19,MF,right,right,1,1,1,rare
1,20,MF,right,left,1,1,1,common
1,21,MF,right,right,1,1,1,rare
1,22,MF,right,right,1,1,1,common
1,23,MF,right,left,1,1,1,rare
1,24,MF,right,right,1,1,1,rare
