agent_type,rep_n,train_n,uncertainty
MB,0,107,0.22134501234763548
MB,0,108,0.22134501234763548
MB,0,109,0.2213122129525692
MB,0,110,0.22128108603977825
MB,0,111,0.22125154476501507
MB,0,112,0.22124359513115155
MB,0,113,0.2212159576044942
MB,0,114,0.2212087889793085
MB,0,115,0.22118291752083397
MB,0,116,0.22115836060066785
MB,0,117,0.22121278885881768
MB,0,118,0.22119056026358908
MB,0,119,0.22116945860863135
MB,0,120,0.22114942601761178
MB,0,121,0.2211444207166896
MB,0,122,0.22112565371024773
MB,0,123,0.22110783631017972
MB,0,124,0.22109091992802765
MB,0,125,0.2210748585143376
MB,0,126,0.22105960842079975
MB,0,127,0.2210451282703837
MB,0,128,0.22103137883495017
MB,0,129,0.2210183229198578
MB,0,130,0.22100592525514828
MB,0,131,0.22099415239287235
MB,0,132,0.22098297261020006
MB,0,133,0.22097235581794994
MB,0,134,0.22096227347421094
MB,0,135,0.2209526985027498
MB,0,136,0.22094360521591971
MB,0,137,0.22093496924179956
MB,0,138,0.22093496924179956
MB,0,139,0.22092676745531836
MB,0,140,0.22092478481023403
MB,0,141,0.22091709456863795
MB,0,142,0.22090979076666506
MB,0,143,0.2209028538936325
MB,0,144,0.22089626543289942
MB,0,145,0.22089000781034474
MB,0,146,0.22089000781034474
MB,0,147,0.22088406434560115
MB,0,148,0.2208784192058889
MB,0,149,0.22087305736230123
MB,0,150,0.22086796454841318
MB,0,151,0.22086677833910806
MB,0,152,0.2208620003815005
MB,0,153,0.22086092995643192
MB,0,154,0.22085644522270165
MB,0,155,0.2208521854043829
MB,0,156,0.22084813918936697
MB,0,157,0.22084429583763976
MB,0,158,0.2208406451520446
MB,0,159,0.22083717745056342
MB,0,160,0.22083388354004385
MB,0,161,0.22083075469128755
MB,0,162,0.22083075469128755
MB,0,163,0.22082778261543357
MB,0,164,0.2208249594415611
MB,0,165,0.22082435083471774
MB,0,166,0.22082169953396424
MB,0,167,0.2208191810395772
MB,0,168,0.22081678868767418
MB,0,169,0.2208145161498677
MB,0,170,0.22081235741626937
MB,0,171,0.22081030677935798
MB,0,172,0.2208083588186791
MB,0,173,0.22080650838632765
MB,0,174,0.22080475059316962
MB,0,175,0.22080308079577016
MB,0,176,0.2208014945839859
MB,0,177,0.22079998776919174
MB,0,178,0.22079855637310752
MB,0,179,0.22079855637310752
MB,0,180,0.22079719661718877
MB,0,181,0.2207959049125613
MB,0,182,0.22079467785046525
MB,0,183,0.22079467785046525
MB,0,184,0.2207935121931831
MB,0,185,0.2207932705225949
MB,0,186,0.22079217528068906
MB,0,187,0.22079113484276292
MB,0,188,0.22079014646453288
MB,0,189,0.2207892075393253
MB,0,190,0.22078831559116208
MB,0,191,0.22078831559116208
MB,0,192,0.2207874682681873
MB,0,193,0.22078666333643193
MB,0,194,0.22078589867388954
MB,0,195,0.22078517226489214
MB,0,196,0.22078448219477131
MB,0,197,0.2207843447448543
MB,0,198,0.22078369606809667
MB,0,199,0.22078307984011347
MF,1,0,1.1
MF,1,1,1.1
MF,1,2,0.6
MF,1,3,0.2820789755988283
MF,1,4,0.22928132414553062
MF,1,5,0.21377845060930134
MF,1,6,0.2085884239773701
MF,1,7,0.20679421214103433
MF,1,8,0.20617210273396547
MF,1,9,0.2059574498568225
MF,1,10,0.2058838264308369
MF,1,11,0.20585870366107123
MF,1,12,0.20585016494305414
MF,1,13,0.2058472713825556
MF,1,14,0.20584629295031376
MF,1,15,0.205845962624113
MF,1,16,0.20584585123147137
MF,1,17,0.20584581369899146
MF,1,18,0.20584580108118739
MF,1,19,0.20584579681863438
MF,1,20,0.2058457953805627
MF,1,21,0.2058457948958614
MF,1,22,0.2058457948958614
MF,1,23,0.20584579473260706
MF,1,24,0.20584579467764855
MF,1,25,0.20584579465915395
MF,1,26,0.20584579465293185
MF,1,27,0.20584579465293185
