rep_n,agent_type,phase,lever_rate
94,MB,pre,0.93
94,MB,post,0.52
95,MF,pre,0.91
95,MF,post,0.9
95,MB,pre,0.9
95,MB,post,0.44
96,MF,pre,0.97
96,MF,post,0.96
96,MB,pre,0.85
96,MB,post,0.52
97,MF,pre,0.9
97,MF,post,0.89
97,MB,pre,0.92
97,MB,post,0.51
98,MF,pre,0.9
98,MF,post,0.91
98,MB,pre,0.89
98,MB,post,0.49
99,MF,pre,0.94
99,MF,post,0.92
99,MB,pre,0.94
99,MB,post,0.58
